uri,label,pageRank,influenced_out,influenced_in,influenced_total,almaMater_out,knownFor_out,notableWork_out,religion_out,ideology_out,field_in,almaMater_in,religion_in,ideology_in,fields,likely_religion_or_belief,likely_institution,likely_field_or_discipline,dbpedia_is_person
<http://dbpedia.org/resource/Zeno_of_Citium__Zeno_of_Citium__1>,Zeno of Citium  Zeno of Citium  1,1.0939689932323635,7,9,16,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Peter_Kreeft>,Peter Kreeft,1.0857371854159152,0,12,12,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Emil_Cioran>,Emil Cioran,1.0849928995504028,3,16,19,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Thomas_Jefferson>,Thomas Jefferson,1.074941316766988,5,8,13,1,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Plutarch>,Plutarch,1.0713913970943518,29,13,42,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Emanuele_Tesauro>,Emanuele Tesauro,1.0709978208578217,6,11,17,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Juan_José_Sebreli>,Juan José Sebreli,1.069812649780961,0,10,10,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Herbert_A._Simon>,Herbert A. Simon,1.069480528101543,24,11,35,0,5,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Baruch_Spinoza>,Baruch Spinoza,1.0675476356109883,53,13,66,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Vladimir_Solovyov_(philosopher)>,Vladimir Solovyov (philosopher),1.0673069329112306,14,17,31,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Ibn_Sab'in>,Ibn Sab'in,1.0613835023320335,6,13,19,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Ray_Ellin>,Ray Ellin,1.0605625000000003,0,9,9,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Muhammad_Iqbal>,Muhammad Iqbal,1.0583493241025208,24,14,38,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Cesare_Magati>,Cesare Magati,1.0537492580630756,0,10,10,2,1,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/John_Scotus_Eriugena__John_Scotus_Eriugena__1>,John Scotus Eriugena  John Scotus Eriugena  1,1.0530917967003848,16,8,24,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/William_Shakespeare>,William Shakespeare,1.050348167475298,5,1,6,0,0,0,0,0,0,0,0,0,[],False,False,False,True
<http://dbpedia.org/resource/Rafael_Gambra_Ciudad>,Rafael Gambra Ciudad,1.050301874433597,0,9,9,0,0,0,0,0,0,0,0,0,[],False,False,False,True
